Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,46,23,34,4004.5866693479425,1.290770000196062,8003.331968999191,16.5,0.42396378763827075,0.21198189381913538,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/audio/levels,50,27,8000.0,4324.488412299979,1.3150110007700277,8003.369179999936,33.58,0.4608302039546421,0.24884831013550673,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/audio/levels (during plugin swap),9,6,8000.0,5337.946535111162,1.2835229990741936,8002.2812629995315,24.333333333333332,0.08294943671183558,0.05529962447455705,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/audio/levels/plugins,8,6,8000.0,6004.36800999978,5.350744000679697,8002.246596999612,3.5,0.07373283263274273,0.05529962447455705,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/audio/status,23,5,4,1743.2624011741175,1.2803250010620104,8002.011388000028,131.47826086956522,0.21198189381913538,0.04608302039546421,4,9,20,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/chains/,26,13,1500.0,4165.419015192409,11.920111999643268,8010.311713998817,725.5,0.2396317060564139,0.11981585302820695,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/chains/{id},23,5,20,1753.710029869541,3.8516300010087434,8001.949966001121,398.9130434782609,0.21198189381913538,0.04608302039546421,20,34,46,8000,8000,8000,8000,8000,8000,8000,8000
POST,/api/chains/{id}/activate,23,5,18,1750.9199270001693,3.78514499971061,8001.952769000127,27.391304347826086,0.21198189381913538,0.04608302039546421,18,22,31,8000,8000,8000,8000,8000,8000,8000,8000
POST,/api/chains/{id}/deactivate,22,4,11,1463.5169184997392,3.052365998883033,8001.844976999564,30.272727272727273,0.20276528974004251,0.036866416316371366,12,16,19,36,8000,8000,8000,8000,8000,8000,8000
GET,/api/plugins/discover,13,0,34,32.58952738472614,10.974763001286192,52.18247399898246,85406.07692307692,0.11981585302820695,0.0,34,41,42,44,45,52,52,52,52,52,52
GET,/api/plugins/list,13,0,6,7.575502384777512,1.3567829992098268,19.001910999577376,23.0,0.11981585302820695,0.0,6,8,9,13,17,19,19,19,19,19,19
POST,/api/plugins/load?uri,8,6,8000.0,6004.666173625083,9.473131000049761,8002.415914999801,541.5,0.07373283263274273,0.05529962447455705,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
POST,/api/plugins/unload?uri,8,6,8000.0,6003.2438859998365,2.5315469993074657,8002.00649999897,19.25,0.07373283263274273,0.05529962447455705,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
,Aggregated,272,106,22,3140.7981139779827,1.2803250010620104,8010.311713998817,4228.33455882353,2.506916309513253,0.9769600323838412,22,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
