Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,6842,0,2,4.536400231960904,1.0218990028079133,1278.8513300001796,33.001900029231216,22.102356596490896,0.0,2,3,3,4,11,17,21,24,55,1300,1300
GET,/api/audio/levels,6842,0,3,22.240659641619633,1.0427310007798951,1145.2939930022694,75.32563577901199,22.102356596490896,0.0,3,5,8,11,16,21,51,970,1100,1100,1100
GET,/api/audio/levels (during plugin swap),1699,0,3,17.506817042318385,1.0556089982856065,1056.6898670003866,75.49440847557386,5.488439616696585,0.0,3,6,9,11,16,21,45,930,1100,1100,1100
GET,/api/audio/levels/plugins,1699,0,2,4.258819310153425,1.031681000313256,1053.0952170011005,19.47851677457328,5.488439616696585,0.0,2,3,3,4,9,13,17,21,250,1100,1100
GET,/api/audio/status,5011,0,2,3.5465855831369155,1.0373740005888976,261.71656099904794,168.0,16.187504955424714,0.0,2,2,3,4,9,13,17,20,45,260,260
GET,/api/chains/,65,0,4,11.502088076835767,1.457551999919815,120.28992399791605,1448.0153846153846,0.20997561806078752,0.0,4,9,14,16,22,27,120,120,120,120,120
GET,/api/chains/{id},5011,0,3,21.500439400141797,1.2054580001858994,1265.3220489992236,501.8098183995211,16.187504955424714,0.0,3,6,8,10,16,21,49,960,1200,1300,1300
POST,/api/chains/{id}/activate,5011,0,3,5.586111342835196,1.1712089981301688,1069.8502470004314,53.244861305128715,16.187504955424714,0.0,3,4,6,7,14,19,25,29,54,1100,1100
POST,/api/chains/{id}/deactivate,5011,0,2,3.764967872878558,1.165050001873169,1076.0631209996063,61.74555976850928,16.187504955424714,0.0,2,2,3,4,9,13,17,20,51,1100,1100
POST,/api/plugins/batch/parameters (500 updates),3341,0,6,27.26502967972339,2.804941002978012,1262.0483169994259,903.9826399281652,10.792746768324479,0.0,6,10,13,15,20,25,110,990,1100,1300,1300
GET,/api/plugins/discover,65,0,13,17.99918764596581,10.651079999661306,39.77284899883671,85406.0,0.20997561806078752,0.0,13,18,23,28,32,35,39,40,40,40,40
GET,/api/plugins/list,65,0,3,6.541587769215067,1.186141998914536,56.76037400189671,35.86153846153846,0.20997561806078752,0.0,3,3,6,9,20,25,34,57,57,57,57
POST,/api/plugins/load?uri,1699,0,3,4.567797615587265,1.2590170008479618,52.70726899834699,2305.6421424367277,5.488439616696585,0.0,3,3,4,5,12,17,22,25,44,53,53
POST,/api/plugins/unload?uri,1699,0,2,4.055226449016844,1.1561249993974343,1052.7558689973375,108.35726898175398,5.488439616696585,0.0,2,2,3,4,9,13,17,20,34,1100,1100
,Aggregated,44060,0,2,11.36275824175543,1.0218990028079133,1278.8513300001796,399.5597594189741,142.33116510397383,0.0,2,4,6,8,14,18,25,41,1000,1200,1300
