Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1176,0,2,14.589369619058317,1.055380000252626,1355.6703150006797,33.0,16.95441163074277,0.0,2,4,8,11,21,50,91,310,1400,1400,1400
GET,/api/audio/levels,1176,0,4,34.96966358586463,1.0556590004853206,1373.7791540006583,73.0,16.95441163074277,0.0,4,9,14,16,59,180,300,960,1300,1400,1400
GET,/api/audio/levels (during plugin swap),312,0,4,44.68308118908937,1.059537999026361,1249.343707000662,73.0,4.498109208156245,0.0,5,12,16,24,98,200,300,1100,1200,1200,1200
GET,/api/audio/levels/plugins,312,0,2,32.61166758335467,1.0543739990680479,1371.4947610005765,14.0,4.498109208156245,0.0,2,4,7,10,20,310,340,370,1400,1400,1400
GET,/api/audio/status,898,0,2,15.70477318374411,1.0755269995570416,1363.4259209993616,168.0,12.946480990142012,0.0,2,4,7,8,13,20,290,340,1400,1400,1400
GET,/api/chains/,70,0,9,41.8330521000306,1.379286999508622,350.281727998663,1448.3,1.0091911684965933,0.0,10,20,36,47,190,260,280,350,350,350,350
GET,/api/chains/{id},898,0,10,40.6340039766158,3.1773649989190744,1429.0198010003223,499.9866369710468,12.946480990142012,0.0,10,16,20,23,56,200,310,1200,1400,1400,1400
POST,/api/chains/{id}/activate,898,4,5,22.965644253875634,1.187234998724307,1416.1616380006308,47.74387527839644,12.946480990142012,0.05766806677123391,5,10,13,16,26,75,120,360,1400,1400,1400
POST,/api/chains/{id}/deactivate,898,1,2,22.680222314041167,1.1722380004357547,1405.8152420002443,60.86636971046771,12.946480990142012,0.014417016692808477,2,4,6,9,15,24,290,1100,1400,1400,1400
POST,/api/plugins/batch/parameters (500 updates),548,0,9,35.11300917698729,3.15936100014369,1316.1582419998012,849.3923357664233,7.900525147659045,0.0,9,14,18,21,54,140,290,370,1300,1300,1300
GET,/api/plugins/discover,70,0,20,76.56812508581164,10.701784000048065,1358.751202998974,85406.0,1.0091911684965933,0.0,21,25,29,32,54,320,1400,1400,1400,1400,1400
GET,/api/plugins/list,70,0,3,14.740005014287558,1.11992799975269,281.3051960001758,39.857142857142854,1.0091911684965933,0.0,3,7,13,15,25,84,91,280,280,280,280
POST,/api/plugins/load?uri,312,0,3,23.845237211418908,1.3308609995874576,1355.8671660011896,2238.105769230769,4.498109208156245,0.0,3,9,13,16,34,83,96,320,1400,1400,1400
POST,/api/plugins/unload?uri,312,0,2,18.368521753234,1.1861699986184249,1376.5129690000322,84.19871794871794,4.498109208156245,0.0,2,3,7,9,17,33,300,350,1400,1400,1400
,Aggregated,7950,5,4,27.133597397981564,1.0543739990680479,1429.0198010003223,1021.6101886792453,114.61528270782739,0.07208508346404238,4,8,12,15,27,84,300,360,1400,1400,1400
