Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,6827,0,2,4.478160065875892,1.0163369952351786,1072.1190080002998,33.0,22.046585916748526,0.0,2,3,4,5,12,17,21,25,61,1100,1100
GET,/api/audio/levels,6827,0,3,19.28097861561545,1.0463579965289682,1069.660119996115,75.3688296469899,22.046585916748526,0.0,3,6,9,11,16,21,45,940,1100,1100,1100
GET,/api/audio/levels (during plugin swap),1627,0,3,19.461471953296876,1.0575810010777786,1059.1478009955608,75.28518746158574,5.254107995686224,0.0,3,6,9,11,16,21,43,920,1000,1100,1100
GET,/api/audio/levels/plugins,1627,0,2,4.000793663765113,1.0262029973091558,1083.794668003975,19.69698832206515,5.254107995686224,0.0,2,2,3,3,8,13,18,21,64,1100,1100
GET,/api/audio/status,5033,0,2,4.052208482409479,1.0331919984309934,1070.339060999686,168.0,16.25318103398203,0.0,2,2,3,4,9,14,18,21,57,1100,1100
GET,/api/chains/,125,0,7,24.397362695715856,1.3385949932853691,971.8388689943822,1448.048,0.4036653346409207,0.0,7,12,15,16,21,26,49,970,970,970,970
GET,/api/chains/{id},5034,0,3,24.613684396425114,1.212293005664833,1068.3186079986626,498.56952721493843,16.25641035665916,0.0,3,6,9,11,17,22,190,980,1000,1100,1100
POST,/api/chains/{id}/activate,5034,0,3,6.2826536984768575,1.175126999442,1074.435981005081,53.290226460071516,16.25641035665916,0.0,3,4,6,8,14,19,25,32,60,1100,1100
POST,/api/chains/{id}/deactivate,5033,0,2,3.7880822355871726,1.1717809975380078,1077.175216996693,61.68706536856745,16.25318103398203,0.0,2,2,3,4,9,12,17,20,27,1100,1100
POST,/api/plugins/batch/parameters (500 updates),3264,0,6,26.764187941807904,2.662537997821346,1071.3231389963767,865.0193014705883,10.540509218143722,0.0,6,9,13,14,20,25,88,1000,1100,1100,1100
GET,/api/plugins/discover,125,0,13,18.92387152009178,10.813474000315182,62.732041005801875,85406.0,0.4036653346409207,0.0,13,20,23,26,36,39,44,46,63,63,63
GET,/api/plugins/list,125,0,3,5.658247431740165,1.0840830000233836,24.56831999734277,29.424,0.4036653346409207,0.0,3,4,8,11,16,19,23,25,25,25,25
POST,/api/plugins/load?uri,1627,0,3,5.853260774427452,1.2579160029417835,1066.2710019969381,2329.9723417332516,5.254107995686224,0.0,3,3,4,5,12,17,23,25,1100,1100,1100
POST,/api/plugins/unload?uri,1627,0,2,3.3947135900142893,1.1749539989978075,64.42270000115968,107.67609096496619,5.254107995686224,0.0,2,2,3,4,9,12,17,20,42,64,64
,Aggregated,43935,0,2,11.469131535902267,1.0163369952351786,1083.794668003975,511.6275862068965,141.8802918195908,0.0,2,4,6,8,14,18,25,43,1000,1100,1100
