Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,1135,0,8,25.13160654528288,1.3740930007770658,1318.3301469543949,33.04581497797357,16.29141234215584,0.0,8,15,20,22,59,140,160,170,1300,1300,1300
GET,/api/audio/levels,1135,0,10,53.546320294473105,1.4118890976533294,1318.194646970369,76.74537444933921,16.29141234215584,0.0,10,20,42,69,120,150,310,1200,1300,1300,1300
GET,/api/audio/levels (during plugin swap),265,0,9,48.80967468620752,1.425858004949987,1273.4705299371853,76.67924528301887,3.8037218243799975,0.0,9,17,33,63,100,150,280,1200,1300,1300,1300
GET,/api/audio/levels/plugins,265,0,5,12.020718869050297,1.4070559991523623,228.35740400478244,20.769811320754716,3.8037218243799975,0.0,5,11,14,16,21,29,93,170,230,230,230
GET,/api/audio/status,812,0,6,16.469591463373497,1.4066979056224227,1318.483424023725,303.04802955665025,11.655177816590784,0.0,6,10,15,17,23,36,140,170,1300,1300,1300
GET,/api/chains/,93,0,16,95.102028648359,1.9048749236389995,1313.0225921049714,1478.2043010752689,1.334891055348452,0.0,16,34,69,110,140,760,1300,1300,1300,1300,1300
GET,/api/chains/{id},813,0,11,51.54916960937928,1.780568971298635,1310.3493240196258,812.8892988929889,11.669531483852596,0.0,11,20,45,72,120,150,270,1200,1300,1300,1300
POST,/api/chains/{id}/activate,812,3,9,31.422464756938524,1.6844070050865412,1344.5003150263801,56.55788177339902,11.655177816590784,0.043061001785433935,9,17,21,26,130,150,180,240,1300,1300,1300
POST,/api/chains/{id}/deactivate,812,0,5,14.059605658555569,1.6774670220911503,1152.7987329754978,61.16871921182266,11.655177816590784,0.0,5,10,12,14,21,40,130,140,1200,1200,1200
POST,/api/plugins/batch/parameters (500 updates),488,0,16,69.47678394713935,4.118340904824436,1342.3306189943105,862.2315573770492,7.00458962376392,0.0,16,26,64,87,160,220,1200,1300,1300,1300,1300
GET,/api/plugins/discover,93,0,27,32.38477607843496,12.630932964384556,175.45100196730345,89708.0,1.334891055348452,0.0,27,33,38,40,46,80,110,180,180,180,180
GET,/api/plugins/list,93,0,13,30.155743105507266,1.474514021538198,150.78416699543595,65.06451612903226,1.334891055348452,0.0,13,20,24,28,130,140,140,150,150,150,150
POST,/api/plugins/load?uri,265,0,7,18.961529001892316,1.745155081152916,160.41745897382498,2365.192452830189,3.8037218243799975,0.0,7,14,18,21,30,130,140,150,160,160,160
POST,/api/plugins/unload?uri,265,0,5,12.303201655224669,1.6743100713938475,170.48346006777138,127.32830188679246,3.8037218243799975,0.0,5,9,12,15,21,29,130,140,170,170,170
,Aggregated,7346,3,9,34.6425683000376,1.3740930007770658,1344.5003150263801,1459.3846991560033,105.4420397052659,0.043061001785433935,9,15,21,25,94,140,180,280,1300,1300,1300
