Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/audio/latency,2294,0,8,21.54077878951622,1.4609899371862411,1353.1640430446714,33.028334786399306,15.321818769903839,0.0,8,17,20,23,31,140,160,170,230,1400,1400
GET,/api/audio/levels,2297,0,11,63.73715226939471,1.486508990637958,1449.6420490322635,77.1937309534175,15.341856022000487,0.0,11,22,60,91,140,180,1200,1300,1300,1400,1400
GET,/api/audio/levels (during plugin swap),566,0,10,66.75319305876954,1.5602998901158571,1379.2029189644381,76.99646643109541,3.7803615622343383,0.0,10,21,54,90,140,190,1200,1300,1400,1400,1400
GET,/api/audio/levels/plugins,565,0,6,14.948771067532356,1.5150619437918067,1324.2101049982011,20.534513274336284,3.7736824782021223,0.0,6,11,14,17,22,28,120,150,1300,1300,1300
GET,/api/audio/status,1825,0,7,14.103057827251925,1.4937319792807102,1512.5269900308922,303.01424657534244,12.189328358794466,0.0,7,11,15,17,21,28,140,170,230,1500,1500
GET,/api/chains/,74,0,8,76.83623945843932,2.078813035041094,1231.172587024048,1478.4054054054054,0.4942522183839948,0.0,8,17,26,47,160,180,1200,1200,1200,1200,1200
GET,/api/chains/{id},1826,0,11,68.50337284654869,1.8486640183255076,1496.0692619206384,808.2316538882804,12.196007442826682,0.0,11,22,60,92,150,180,1200,1300,1500,1500,1500
POST,/api/chains/{id}/activate,1825,0,10,25.068098863344385,1.7847090493887663,1381.3499939860776,54.47945205479452,12.189328358794466,0.0,10,18,23,26,39,150,170,200,410,1400,1400
POST,/api/chains/{id}/deactivate,1825,0,6,13.545721130228717,1.7738969763740897,365.99949398078024,61.12328767123287,12.189328358794466,0.0,6,10,12,14,21,31,140,160,350,370,370
POST,/api/plugins/batch/parameters (500 updates),1127,0,18,70.81012238092231,5.459117004647851,1540.7877779798582,873.5199645075421,7.527327704307596,0.0,18,27,60,92,160,200,1100,1300,1500,1500,1500
GET,/api/plugins/discover,74,0,23,37.15450229985338,12.73091894108802,180.48098403960466,89708.0,0.4942522183839948,0.0,24,33,41,45,54,150,180,180,180,180,180
GET,/api/plugins/list,74,0,9,26.4323159951616,1.5766120050102472,224.7051049489528,68.47297297297297,0.4942522183839948,0.0,9,16,19,25,130,140,180,220,220,220,220
POST,/api/plugins/load?uri,565,0,7,20.678461964893263,1.8735210178419948,192.1106909867376,2210.1115044247786,3.7736824782021223,0.0,7,16,20,23,30,140,160,170,190,190,190
POST,/api/plugins/unload?uri,565,0,6,14.841327570436473,1.782360952347517,324.08087607473135,126.89557522123894,3.7736824782021223,0.0,6,10,13,15,22,52,140,180,320,320,320
,Aggregated,15502,0,9,37.00203872762799,1.4609899371862411,1540.7877779798582,748.6644949038833,103.53916066741469,0.0,9,16,21,25,100,150,190,320,1300,1500,1500
