nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  2/9/2026 9:18:13 PM ::1 GET /
 HTTP  2/9/2026 9:18:13 PM ::1 Returned 200 in 32 ms
 HTTP  2/9/2026 9:18:13 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:13 PM 172.20.146.232 Returned 304 in 6 ms
 HTTP  2/9/2026 9:18:15 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:15 PM 172.20.146.232 Returned 304 in 2 ms
 HTTP  2/9/2026 9:18:17 PM ::1 GET /
 HTTP  2/9/2026 9:18:17 PM ::1 Returned 200 in 2 ms
 HTTP  2/9/2026 9:18:20 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:20 PM 172.20.146.232 Returned 304 in 2 ms
 HTTP  2/9/2026 9:18:21 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:21 PM 172.20.146.232 Returned 304 in 2 ms
 HTTP  2/9/2026 9:18:21 PM 172.20.146.232 GET /ws/events
 HTTP  2/9/2026 9:18:21 PM 172.20.146.232 Returned 200 in 3 ms
 HTTP  2/9/2026 9:18:26 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:26 PM 172.20.146.232 Returned 304 in 2 ms
 HTTP  2/9/2026 9:18:27 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:27 PM 172.20.146.232 Returned 304 in 3 ms
 HTTP  2/9/2026 9:18:32 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:32 PM 172.20.146.232 Returned 304 in 2 ms
 HTTP  2/9/2026 9:18:33 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:33 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:18:38 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:38 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:18:39 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:39 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:18:44 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:44 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:18:45 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:45 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:18:50 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:50 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:18:51 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:51 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:18:56 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:56 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:18:57 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:18:57 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:19:02 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:02 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:03 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:03 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:08 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:08 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:09 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:09 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:14 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:14 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:19:15 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:15 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:20 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:20 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:21 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:21 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:21 PM 172.20.146.232 GET /ws/events
 HTTP  2/9/2026 9:19:21 PM 172.20.146.232 Returned 200 in 1 ms
 HTTP  2/9/2026 9:19:21 PM 172.20.146.232 GET /api/ws
 HTTP  2/9/2026 9:19:21 PM 172.20.146.232 Returned 200 in 1 ms
 HTTP  2/9/2026 9:19:26 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:26 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:27 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:27 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:32 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:32 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:33 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:33 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:38 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:38 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:39 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:39 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:44 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:44 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:45 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:45 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:19:50 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:50 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:51 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:51 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:56 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:56 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:19:57 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:19:57 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:02 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:02 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:03 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:03 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:20:08 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:08 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:09 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:09 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:14 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:14 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:15 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:15 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:20 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:20 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:20:21 PM 172.20.146.232 GET /ws/events
 HTTP  2/9/2026 9:20:21 PM 172.20.146.232 Returned 200 in 1 ms
 HTTP  2/9/2026 9:20:21 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:21 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:20:26 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:26 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:27 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:27 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:32 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:32 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:33 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:33 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:38 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:38 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:39 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:39 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:44 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:44 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:45 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:45 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:50 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:50 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:51 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:51 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:56 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:56 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:20:57 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:20:57 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:02 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:02 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:03 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:03 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:08 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:08 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:09 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:09 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:14 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:14 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:15 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:15 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:20 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:20 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:21 PM 172.20.146.232 GET /ws/events
 HTTP  2/9/2026 9:21:21 PM 172.20.146.232 Returned 200 in 1 ms
 HTTP  2/9/2026 9:21:21 PM 172.20.146.232 GET /api/ws
 HTTP  2/9/2026 9:21:21 PM 172.20.146.232 Returned 200 in 1 ms
 HTTP  2/9/2026 9:21:22 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:22 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:27 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:27 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:28 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:28 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:33 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:33 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:34 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:34 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:21:39 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:39 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:40 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:40 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:45 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:45 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:46 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:46 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:51 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:51 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:21:52 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:52 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:57 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:57 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:21:58 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:21:58 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:03 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:03 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:04 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:04 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:09 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:09 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:10 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:10 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:22:15 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:15 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:16 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:16 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:21 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:21 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:22 PM 172.20.146.232 GET /ws/events
 HTTP  2/9/2026 9:22:22 PM 172.20.146.232 Returned 200 in 1 ms
 HTTP  2/9/2026 9:22:22 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:22 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:27 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:27 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:28 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:28 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:33 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:33 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:34 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:34 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:39 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:39 PM 172.20.146.232 Returned 304 in 1 ms
 HTTP  2/9/2026 9:22:40 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:40 PM 172.20.146.232 Returned 304 in 2 ms
 HTTP  2/9/2026 9:22:45 PM 172.20.146.232 GET /api/midi-learn/mappings
 HTTP  2/9/2026 9:22:45 PM 172.20.146.232 Returned 304 in 0 ms
 HTTP  2/9/2026 9:22:46 PM 172.20.146.232 GET /api/midi-learn/mappings
